,index,X,Y,Z,task
0,0,16.0,-100.0,10.0,0-back
1,1,-12.0,-102.0,6.0,0-back
2,2,4.0,-88.0,-8.0,0-back
3,3,30.0,-78.0,-16.0,0-back
4,4,-40.0,4.0,30.0,0-back
5,5,-42.0,-2.0,36.0,0-back
6,6,-38.0,-4.0,48.0,0-back
7,7,-32.0,24.0,-2.0,0-back
8,8,-38.0,-26.0,50.0,0-back
9,9,-38.0,-20.0,64.0,0-back
10,10,34.0,22.0,6.0,0-back
11,11,34.0,24.0,-4.0,0-back
12,12,40.0,4.0,32.0,0-back
13,13,36.0,10.0,28.0,0-back
14,14,-4.0,-76.0,-40.0,0-back
15,15,28.0,-32.0,-40.0,0-back
16,16,40.0,36.0,18.0,0-back
17,17,32.0,-32.0,-34.0,0-back
18,18,-58.0,-20.0,46.0,0-back
19,0,-16.0,-100.0,10.0,2-back
20,1,16.0,-100.0,8.0,2-back
21,2,4.0,-90.0,-8.0,2-back
22,3,30.0,-78.0,-16.0,2-back
23,4,-42.0,4.0,30.0,2-back
24,5,-38.0,-2.0,50.0,2-back
25,6,-38.0,16.0,26.0,2-back
26,7,-38.0,18.0,2.0,2-back
27,8,-32.0,24.0,-2.0,2-back
28,9,34.0,22.0,-6.0,2-back
29,10,34.0,24.0,4.0,2-back
30,11,4.0,18.0,48.0,2-back
31,12,-4.0,14.0,52.0,2-back
32,13,32.0,2.0,54.0,2-back
33,14,42.0,4.0,32.0,2-back
34,15,44.0,28.0,32.0,2-back
35,16,42.0,34.0,20.0,2-back
36,17,-28.0,-72.0,-54.0,2-back
37,18,2.0,-46.0,-18.0,2-back
38,19,-38.0,-26.0,50.0,2-back
39,20,-38.0,-18.0,64.0,2-back
40,21,2.0,-58.0,-34.0,2-back
41,22,16.0,0.0,16.0,2-back
42,23,10.0,26.0,30.0,2-back
43,24,24.0,46.0,-12.0,2-back
44,25,-34.0,54.0,16.0,2-back
